Gene	Ctrl.0h	Ctrl.CpG.6h	Emp_CpG_6h	Emp_Uns	NCoR1_CpG_6h	NCoR1_Uns	SMRT.0h	SMRT.CpG.6h
51	1110065P20Rik	7.88459087109384	8.13545848056878	8.23790052539215	7.88663798896412	7.99499508784951	7.67719296705236	7.92873394711749	8.09485079452795
52	1190002F15Rik	7.98333463147177	8.19950854922384	8.39698232520156	8.38958473332016	8.4138996013011	8.29222505065541	8.26209612855863	8.37935668614691
53	1190002N15Rik	10.3137272410421	8.63461510350206	8.41554420942375	10.512754515434	8.18308699740198	10.682842737642	10.4287293519075	8.94469948804387
54	1190003K10Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
55	1190005I06Rik	6.25135146586469	6.25466253709935	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.25470794944668	6.22191137551199
56	1190007I07Rik	7.97106434057189	7.64664580515732	7.66160298289242	8.17370585287396	7.8276181607599	8.26196616767356	7.89836704267798	7.70571311743753
57	1200014J11Rik	10.5362247013583	10.6695546025577	10.6310080329884	10.6727193629616	10.2392513022617	10.1469213176467	10.3270304323195	10.1792908631232
58	1300002E11Rik	6.92802394003423	6.76249897975846	6.80655990805891	7.16179115671514	6.88917035529398	7.12443691548832	6.99263708488433	6.77821620725631
59	1300017J02Rik	6.22191137551199	6.26194225944846	6.22191137551199	6.22191137551199	6.29907646011862	6.3004804185915	6.22191137551199	6.28906035578971
60	1500004A13Rik	7.62599529787301	7.635230863196	7.13866380407853	6.96847258406008	6.97987221676538	6.9199268558964	7.30863620383003	7.32154675317807
61	1500009C09Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.25249827057813	6.22191137551199
62	1500009L16Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.31325279137879	6.22191137551199	6.22191137551199	6.27332945459758
63	1500011B03Rik	8.45005366476698	8.33214208074377	8.50478351613658	8.69289892488915	9.50010221745872	9.27656064284171	9.01376408172034	8.87439727055581
64	1500011K16Rik	7.99128237277055	7.77900186258422	7.98493658862606	8.58295272960309	8.3569125721287	8.86767054989081	8.20371712418894	8.03694160864171
65	1500012F01Rik	9.65379720082847	9.83729493494706	8.90177176212045	8.48450432947309	10.2136651491683	9.44596452663033	10.0001530030579	10.3956393478777
66	1500012K07Rik	6.25785337607531	6.22191137551199	6.22191137551199	6.28632807543835	6.22191137551199	6.2810241481508	6.22191137551199	6.22191137551199
67	1500015A07Rik	7.68996339492586	8.18582319032679	7.86407693974148	7.3795718953773	7.50684103811012	7.31398645815222	7.69923052318363	7.96461195989153
68	1500015L24Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
69	1500015O10Rik	6.36369023883991	6.41340622563099	6.46773042957554	6.28632807543835	6.467363302413	6.30548610207951	6.4293684991249	6.39950730463038
70	1500017E21Rik	6.25614781358843	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.25554264113537
71	1500026H17Rik	6.25614781358843	6.26147896818089	6.22191137551199	6.28632807543835	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
72	1600002D24Rik	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199	6.22191137551199
73	1600002H07Rik	8.66128342919722	8.49286000526057	8.53353078508375	8.64254475277105	8.33886884543115	8.43451364900838	8.42383477841241	8.16292073775404
74	1600002K03Rik	7.79054639118088	7.78331150085577	8.15336306294421	8.04708409572114	8.16746380433458	8.15257333356234	7.8066607116661	7.9010774292243
75	1600010M07Rik	6.71324544091006	6.43845421670949	6.38753890831221	6.73704880114424	6.22191137551199	6.53595081959835	6.64514383344557	6.33367490726552
76	1600012H06Rik	9.2171883825638	9.51179243056863	9.3353067288789	9.28981221834059	9.50979441153761	9.36642055835789	9.6171797743424	9.58108323681659
